first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost
Shkodran,Mustafi,0,2,42,1115,15,44.4,242.0,131.0,2,229,41.9,4,0,2,0.4,51
Héctor,Bellerín,1,0,43,1073,16,61.2,178.8,89.0,4,194,33.1,4,0,2,1.0,53
Sead,Kolasinac,0,2,51,1483,22,165.9,245.0,67.0,1,301,47.5,4,0,3,0.5,52
Ainsley,Maitland-Niles,0,2,39,1278,20,159.5,279.2,37.0,3,226,47.0,3,1,4,2.2,45
Sokratis,Papastathopoulos,2,0,57,1696,25,36.8,436.2,110.0,5,305,58.5,4,0,6,1.3,48
Nacho,Monreal,0,0,10,270,4,40.8,47.2,12.0,1,54,10.0,1,0,0,0.2,50
Laurent,Koscielny,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,50
Konstantinos,Mavropanos,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,43
Carl,Jenkinson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Rob,Holding,0,0,12,310,5,2.4,68.2,6.0,2,60,7.7,1,0,0,0.2,44
Pierre-Emerick,Aubameyang,20,4,184,2834,39,433.8,903.2,1244.0,34,724,257.8,10,1,3,23.0,109
Alexandre,Lacazette,8,5,96,1574,20,311.0,439.0,823.0,12,314,157.5,5,0,6,1.9,92
Edward,Nketiah,2,0,22,505,7,53.9,80.2,179.0,1,62,31.4,3,1,0,1.9,44
Bernd,Leno,0,0,114,2649,39,0.0,843.2,0.0,10,591,84.1,7,0,2,4.5,48
Mesut,Özil,1,3,53,1439,20,582.9,223.6,190.0,1,256,99.8,5,0,1,1.1,70
Henrikh,Mkhitaryan,0,0,4,110,0,33.9,5.4,46.0,0,3,8.6,1,0,1,0.7,67
Granit,Xhaka,1,1,65,2271,26,275.0,406.6,110.0,2,357,79.5,10,0,8,0.8,51
Lucas,Torreira,1,1,45,1382,21,201.9,276.8,199.0,0,241,68.0,3,0,5,1.0,47
Mohamed,Elneny,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,42
Matteo,Guendouzi,0,2,48,1744,31,235.1,333.6,146.0,2,272,71.6,3,0,6,7.2,42
David,Luiz Moreira Marinho,2,1,89,2480,36,105.3,634.6,191.0,10,458,93.2,8,2,5,4.9,57
Emiliano,Martínez,0,0,23,410,3,0.0,107.0,0.0,1,96,10.8,3,0,1,2.7,43
Calum,Chambers,1,1,42,1102,15,113.5,272.0,203.0,5,197,58.7,3,0,5,0.6,43
Daniel,Ceballos Fernández,0,2,51,1403,16,366.4,284.4,119.0,3,262,77.0,7,0,0,3.0,52
Cédric,Soares,1,1,56,1394,18,204.1,336.2,114.0,3,265,65.6,4,0,1,0.3,48
Nicolas,Pépé,5,6,100,1744,26,571.3,478.4,582.0,9,333,163.4,5,0,3,3.2,90
Reiss,Nelson,0,1,22,541,6,132.5,64.6,142.0,0,73,33.9,2,0,1,0.1,53
Joseph,Willock,1,1,38,733,15,163.4,169.2,200.0,0,146,53.1,1,0,1,0.2,47
Gabriel Teodoro,Martinelli Silva,3,1,39,656,9,36.6,162.8,226.0,5,129,42.5,2,0,1,1.9,43
Kieran,Tierney,0,1,27,693,11,103.4,120.2,44.0,3,154,26.9,2,0,2,0.7,53
Bukayo,Saka,1,6,68,1583,15,306.3,323.8,222.0,4,252,85.3,7,0,5,5.8,47
Emile,Smith Rowe,0,0,4,96,0,6.3,9.8,0.0,0,13,1.6,1,0,0,0.0,43
