assists,games,goals,id,key_passes,npg,npxG,player_name,position,red_cards,shots,team_title,time,xA,xG,xGBuildup,xGChain,yellow_cards
4,26,19,755,16,15,10.433209054172039,Jamie Vardy,F S,0,59,Leicester,2224,3.419663490727544,14.239053256809711,1.4472287651151419,13.664329543709755,2
1,26,17,318,20,16,11.240753469988704,Pierre-Emerick Aubameyang,F M,1,65,Arsenal,2309,3.291264995932579,12.001885442063212,4.388375401496887,15.13119576126337,3
3,22,16,619,19,14,12.665595471858978,Sergio Agüero,F S,0,72,Manchester City,1407,2.9202088303864002,14.949065119028091,2.522262408398092,16.170626416802406,1
6,26,16,1250,47,13,13.252390407025814,Mohamed Salah,F,0,98,Liverpool,2265,7.2400669902563095,15.535896979272366,6.689902920275927,23.791065126657486,1
1,29,15,986,21,15,11.051563730463386,Danny Ings,F M S,0,68,Southampton,2026,1.817600498907268,11.051563730463386,2.4377885907888412,12.389018662273884,2
4,22,14,556,24,9,9.782329853624105,Marcus Rashford,F M,0,74,Manchester United,1890,3.2046038936823606,15.110474914312363,2.9352949280291796,12.892826600000262,2
7,26,14,838,41,14,12.425493717193604,Sadio Mané,F M S,0,60,Liverpool,2090,4.868995673954487,12.425493717193604,5.02796745300293,19.738064870238304,2
3,25,13,702,20,13,13.400192350149155,Tammy Abraham,F S,0,73,Chelsea,1976,2.852206479758024,13.400192350149155,0.9634686019271612,15.39133182913065,2
6,29,13,4105,42,10,11.627585366368294,Raúl Jiménez,F S,0,98,Wolverhampton Wanderers,2473,6.644597489386797,13.911091908812523,4.716690460219979,19.59609268605709,3
1,27,13,5555,14,13,14.14703862927854,Dominic Calvert-Lewin,F S,0,65,Everton,1919,1.2165073305368423,14.14703862927854,3.4101777393370867,15.353524304926395,7
3,23,11,553,20,11,8.942269943654537,Anthony Martial,F S,0,60,Manchester United,1901,2.550251541659236,9.70343866199255,4.957387533038855,14.133065197616816,1
1,24,11,618,36,11,13.031746078282595,Raheem Sterling,F M S,0,72,Manchester City,2039,5.926191136240959,13.792914915829897,8.051196854561567,24.2663391828537,5
2,20,11,647,20,9,6.375229977071285,Harry Kane,F,0,57,Tottenham,1785,1.9584172517061234,7.897530876100063,2.4263819279149175,10.012866860255599,2
1,26,11,4456,18,11,14.472395166754723,Chris Wood,F S,0,53,Burnley,2083,0.7614079006016254,14.472395166754723,2.299790441058576,10.519814383238554,1
3,28,11,7696,27,9,9.348029006272554,Teemu Pukki,F,0,74,Norwich,2495,3.4167155139148235,10.87036669626832,2.368442302569747,13.946472764015198,3
4,24,10,5543,16,10,13.720685537904501,Gabriel Jesus,F S,0,68,Manchester City,1325,1.8651880361139774,14.481854405254126,4.720704831182957,18.47707210853696,2
3,27,10,6026,32,10,8.61203328333795,Richarlison,F M,0,71,Everton,2368,6.430791556835175,8.61203328333795,4.604373373091221,14.541859751567245,5
16,26,9,447,94,9,5.250505467876792,Kevin De Bruyne,M S,0,77,Manchester City,2177,14.70118623971939,5.250505467876792,15.82343278452754,28.98560455441475,2
7,21,9,453,30,9,7.117866831831634,Son Heung-Min,F M S,2,64,Tottenham,1764,5.167303834110498,7.879035788588226,5.198095638304949,14.941930748522282,0
0,28,8,468,26,8,8.650621436536312,Callum Wilson,F S,0,42,Bournemouth,2357,2.918790927156806,8.650621436536312,2.6259239856153727,11.225673783570528,9
7,29,8,482,39,8,15.48888049274683,Roberto Firmino,F M S,0,87,Liverpool,2445,6.404986003413796,15.48888049274683,8.079119887202978,24.972548119723797,0
4,22,8,645,22,7,7.0821915324777365,Dele Alli,F M S,0,40,Tottenham,1776,3.458704847842455,7.843360399827361,6.0275101298466325,15.793444998562336,2
1,28,8,672,21,8,6.312915267422795,Jordan Ayew,F M,0,46,Crystal Palace,2414,1.9834237303584814,6.312915267422795,2.5548382811248302,9.594053976237774,5
2,28,8,3621,17,7,10.368951439857483,Neal Maupay,F S,0,79,Brighton,2121,1.6384308068081737,11.130120258778334,2.5948086343705654,10.730752650648355,3
6,26,7,675,70,7,5.007226325571537,Jack Grealish,F M,0,55,Aston Villa,2335,6.198338005691767,5.7683951780200005,8.259876552969217,15.502414923161268,7
8,23,7,750,46,7,4.9339928813278675,Riyad Mahrez,F M S,0,52,Manchester City,1380,8.649242455139756,4.9339928813278675,9.90579928457737,20.09598358720541,0
4,25,7,770,22,6,5.063555464148521,Ayoze Pérez,F M S,0,37,Leicester,1621,3.690063951537013,5.824724301695824,3.1503245066851377,10.727268574759364,0
3,20,7,3277,21,7,6.327156588435173,Alexandre Lacazette,F S,0,40,Arsenal,1319,2.7731438651680946,6.327156588435173,1.4759941082447767,8.869285497814417,5
0,23,7,5596,14,7,3.372405461035669,Harry Wilson,F M S,0,47,Bournemouth,1480,2.2177436221390963,3.372405461035669,4.116967786103487,7.06976230815053,1
1,27,7,6144,23,7,7.969775656238198,Sébastien Haller,F S,0,53,West Ham,2147,2.303884972818196,7.969775656238198,2.502359937876463,10.465072859078646,1
2,18,6,574,20,4,5.448091585189104,Troy Deeney,F S,0,33,Watford,1513,2.7887832392007113,7.731598127633333,1.8469046475365758,8.834443751722574,3
0,19,6,4422,5,5,5.755758501589298,Ashley Barnes,F S,0,40,Burnley,1386,0.3088205009698868,6.516927354037762,1.5740792136639357,5.060966618359089,4
6,27,6,6681,31,6,7.010122928768396,Harvey Barnes,M S,0,51,Leicester,1731,3.314707452431321,7.010122928768396,5.262268019840121,13.673023281618953,0
3,28,6,6818,75,6,4.563272884115577,James Maddison,M S,0,62,Leicester,2411,5.154305061325431,4.563272884115577,8.297883972525597,13.57007498294115,4
1,25,6,6854,23,6,10.344042006880045,Diogo Jota,F M S,0,59,Wolverhampton Wanderers,1796,1.641089342534542,10.344042006880045,3.7418850511312485,13.366517901420593,3
