id,xP
1,0.0
2,0.0
3,0.9
4,3.3
5,0.7
6,1.3
7,0.5
8,2.1
9,0.0
10,0.5
11,0.9
13,0.5
14,0.4
15,2.1
16,1.3
17,1.5
18,2.5
19,0.0
20,1.1
21,0.5
22,2.5
23,0.5
24,2.5
25,0.0
26,0.2
27,0.5
478,2.7
494,0.0
501,1.9
526,1.3
527,0.5
547,0.5
567,0.0
12,7.0
28,0.5
29,2.7
30,0.0
31,0.5
32,0.5
33,1.0
34,0.0
35,0.0
36,0.5
37,6.7
38,3.7
39,3.3
40,0.0
41,5.5
42,5.0
43,0.0
44,1.5
45,7.3
46,1.5
47,0.5
48,0.0
49,0.0
50,0.7
51,0.0
52,1.7
106,0.4
496,4.0
514,1.7
540,5.5
554,1.3
53,0.0
54,1.2
57,4.2
58,0.0
59,0.0
60,0.0
61,0.0
62,2.2
63,0.0
64,0.0
65,2.6
66,2.2
67,1.0
68,0.8
69,1.8
70,1.0
71,1.0
72,0.0
73,0.0
74,2.2
75,0.0
76,2.0
77,1.0
78,1.4
79,0.8
80,0.2
503,0.0
528,0.0
550,0.0
574,0.2
588,4.4
597,2.2
55,-0.1
81,2.7
82,-0.5
83,0.1
84,0.0
85,-0.5
86,0.9
87,2.1
88,2.9
89,3.1
90,-0.1
91,2.9
92,3.1
93,0.1
94,0.0
95,2.9
96,4.9
97,3.3
98,1.5
99,-0.5
100,2.1
519,-0.5
520,-0.5
535,0.3
536,-0.5
551,-0.5
583,-0.5
591,-0.5
592,-0.5
101,0.5
102,1.9
103,3.5
104,0.5
105,1.1
107,2.1
109,0.5
110,4.9
111,1.7
112,0.5
113,2.5
114,0.6
116,0.5
117,3.7
118,4.1
119,3.9
120,4.3
121,0.5
122,0.2
123,3.1
124,0.7
232,4.1
490,5.3
500,2.1
548,4.1
593,0.5
605,0.5
108,-0.4
125,-0.2
126,0.0
127,0.0
128,0.8
129,-1.0
130,1.6
131,-1.0
132,0.0
133,1.0
134,0.2
135,0.0
136,0.0
137,0.6
138,0.0
139,0.8
140,0.2
141,3.8
142,2.0
143,-1.0
144,-0.2
145,0.0
146,-1.0
147,-1.0
486,-0.6
489,2.6
522,-1.0
534,0.0
577,0.2
578,-1.0
586,-1.0
149,0.0
150,3.9
151,-0.5
152,-0.3
153,-0.1
154,-0.3
155,0.0
156,3.1
157,2.7
158,0.5
159,2.7
160,0.1
161,0.0
162,4.5
163,0.7
164,3.9
165,4.3
166,3.5
167,-0.5
168,-0.3
169,0.0
170,-0.5
502,0.0
508,0.0
512,1.7
559,-0.5
566,3.1
573,0.7
596,-0.5
115,1.9
171,-0.5
172,0.0
173,-0.5
174,0.0
175,0.1
176,-0.5
177,0.0
178,-0.5
179,0.0
180,-0.5
181,2.6
182,0.1
183,0.0
184,0.3
185,0.0
186,-0.5
187,2.9
188,0.0
189,0.0
190,0.1
191,2.7
192,0.0
373,0.9
484,1.7
493,0.7
516,3.3
517,-0.1
525,-0.5
