assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,0,0,0,37605,None,,0,0,-3,3,0.0,686,278,None,,0,3,0.0,0.0,0,Mesut,0.0,0,0,0.0,686,278,1,False,0.0,686,278,0,Not included in Arsenal's 25-man Premier League squad,2020-10-20T22:30:18.118477Z,67,0,0,None,0,,37605.jpg,0.0,0,0,Özil,0.5,False,None,u,1,3,0.0,686,278,0,3441,0,54682,67,0.0,0.0,Özil,0
0,0,0,0,0,0,39476,None,,0,0,-2,2,0.0,641,233,None,,0,2,0.0,0.0,0,Sokratis,0.0,0,0,0.0,652,232,2,False,0.0,649,232,0,Left the club by mutual consent on 20/1,2020-10-21T10:30:18.546407Z,48,0,0,None,0,,39476.jpg,0.0,0,0,Papastathopoulos,0.1,False,None,u,1,3,0.0,633,230,0,10266,0,19112,6,0.0,0.0,Sokratis,0
0,0,223,100,100,3,41270,None,,0,0,-1,1,45.2,324,105,4,,0,2,1.7,1.7,1,David,1.7,20,1,41.0,272,90,3,False,244.6,217,87,1344,,2021-02-02T20:30:22.388696Z,54,0,0,None,0,,41270.jpg,2.1,1,0,Luiz Moreira Marinho,0.9,False,None,a,1,3,123.0,219,61,40,76400,1099,115490,4145,0.3,7.4,David Luiz,1
1,10,296,100,100,7,54694,None,,0,0,-5,5,266.2,103,70,None,,2,3,3.3,3.3,2,Pierre-Emerick,3.3,23,9,140.7,41,27,4,False,414.0,108,37,1931,,2021-01-23T16:00:22.555453Z,115,1,0,1,0,,54694.jpg,4.4,0,0,Aubameyang,10.4,False,None,a,1,3,729.0,27,15,106,1110527,7567,3485164,129425,0.3,9.2,Aubameyang,2
1,3,121,100,100,2,58822,None,,0,0,-4,4,112.3,223,54,5,,0,2,0.7,0.7,0,Cédric,0.7,8,0,26.5,332,117,5,False,103.4,332,130,699,,2020-09-23T09:00:14.881983Z,46,0,0,None,0,,58822.jpg,3.1,0,0,Soares,0.3,False,None,a,1,3,49.0,323,113,28,28943,270,51909,988,0.2,6.1,Cédric,1
3,18,380,100,100,6,59966,None,,1,-1,-3,3,271.4,99,10,3,,3,4,6.7,6.7,11,Alexandre,6.7,16,11,151.5,35,10,6,False,515.8,60,6,1617,,2021-01-30T23:00:18.185183Z,82,0,0,2,0,,59966.jpg,4.4,0,0,Lacazette,6.0,False,None,a,1,3,731.0,26,12,109,1444507,34970,1335379,32848,0.8,13.3,Lacazette,3
0,0,16,0,0,0,69140,None,,0,0,0,0,1.0,444,173,None,,0,2,0.0,0.0,0,Shkodran,0.0,1,0,1.3,472,177,7,False,11.6,457,174,45,Joined Schalke on a permanent deal on 1/2,2021-02-01T22:30:23.082979Z,50,0,0,None,0,,69140.jpg,1.0,0,0,Mustafi,0.0,False,None,u,1,3,0.0,658,238,3,13464,0,14418,15,0.0,0.6,Mustafi,0
0,8,499,100,100,8,80201,None,,0,0,0,0,0.0,664,74,None,,2,1,2.7,2.7,1,Bernd,2.7,31,0,56.8,220,14,8,False,567.0,41,14,2501,,2021-02-02T20:30:22.406559Z,50,0,0,None,1,,80201.jpg,3.6,1,69,Leno,6.7,False,None,a,1,3,0.0,660,70,102,866138,5209,1016729,9847,0.5,20.4,Leno,0
2,1,321,100,100,7,84450,None,,0,0,-3,3,251.2,114,77,1,,0,3,1.7,1.7,2,Granit,1.7,25,1,72.4,156,82,9,False,355.6,150,58,2057,,2020-12-13T22:30:16.182130Z,52,0,0,None,0,,84450.jpg,2.3,1,0,Xhaka,0.5,False,None,a,1,3,116.0,228,115,57,43717,445,79480,1173,0.3,11.0,Xhaka,6
0,1,118,100,100,2,92371,None,,0,0,-1,1,24.9,365,132,None,,0,2,1.0,1.0,1,Pablo,1.0,7,0,15.9,368,133,10,False,118.4,319,123,630,,2021-01-14T22:00:26.195009Z,44,0,0,None,0,,92371.jpg,3.0,0,0,Marí,0.1,False,None,a,1,3,16.0,380,142,21,35129,229,30695,416,0.2,4.8,Marí,1
