code,draw,form,id,loss,name,played,points,position,short_name,strength,team_division,unavailable,win,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id
3,0,,1,0,Arsenal,0,0,0,ARS,4,,False,0,1190,1270,1190,1200,1160,1270,1
7,0,,2,0,Aston Villa,0,0,0,AVL,2,,False,0,1050,1080,1010,1080,1000,1110,2
36,0,,3,0,Brighton,0,0,0,BHA,2,,False,0,1070,1070,1100,1130,1060,1060,131
90,0,,4,0,Burnley,0,0,0,BUR,3,,False,0,1140,1150,1130,1240,1050,1170,43
8,0,,5,0,Chelsea,0,0,0,CHE,4,,False,0,1200,1260,1140,1270,1240,1250,4
31,0,,6,0,Crystal Palace,0,0,0,CRY,3,,False,0,1080,1070,1080,1190,1010,1040,6
11,0,,7,0,Everton,0,0,0,EVE,3,,False,0,1100,1180,1090,1190,1150,1180,7
54,0,,8,0,Fulham,0,0,0,FUL,2,,False,0,1000,1030,1010,1030,1000,1050,34
13,0,,9,0,Leicester,0,0,0,LEI,4,,False,0,1180,1230,1180,1260,1220,1250,26
2,0,,10,0,Leeds,0,0,0,LEE,2,,False,0,1030,1040,1040,1070,990,990,9
14,0,,11,0,Liverpool,0,0,0,LIV,5,,False,0,1320,1350,1280,1320,1300,1340,10
43,0,,12,0,Man City,0,0,0,MCI,5,,False,0,1310,1350,1250,1340,1340,1350,11
1,0,,13,0,Man Utd,0,0,0,MUN,4,,False,0,1250,1250,1250,1260,1200,1290,12
4,0,,14,0,Newcastle,0,0,0,NEW,3,,False,0,1090,1120,1040,1170,1020,1070,23
49,0,,15,0,Sheffield Utd,0,0,0,SHU,3,,False,0,1170,1220,1160,1280,1010,1150,18
20,0,,16,0,Southampton,0,0,0,SOU,3,,False,0,1150,1060,1140,1060,1190,1090,20
6,0,,17,0,Spurs,0,0,0,TOT,4,,False,0,1200,1260,1100,1240,1200,1260,21
35,0,,18,0,West Brom,0,0,0,WBA,2,,False,0,1020,1030,1030,1030,1020,1150,36
21,0,,19,0,West Ham,0,0,0,WHU,3,,False,0,1070,1100,1090,1090,1040,1210,25
39,0,,20,0,Wolves,0,0,0,WOL,3,,False,0,1200,1190,1230,1250,1170,1200,38
