h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,0.909241,1.08752,0.909241,1.08752,"{'att': 167, 'def': 18}","{'att': 143, 'def': 26}",0,9,3,0,1.1422,w,2019-08-10 15:00:00,1,0,0,3,-0.17827900000000008
a,1.39172,1.1644,1.39172,1.1644,"{'att': 296, 'def': 26}","{'att': 85, 'def': 16}",4,8,1,2,1.5631000000000002,l,2019-08-17 12:30:00,0,0,1,0,0.22731999999999997
a,1.22762,1.32793,1.22762,0.56676,"{'att': 307, 'def': 21}","{'att': 142, 'def': 12}",4,4,1,1,1.2223,d,2019-08-25 16:30:00,0,1,0,1,0.6608599999999999
h,0.61739,1.20057,0.61739,1.20057,"{'att': 309, 'def': 19}","{'att': 149, 'def': 24}",0,11,0,3,0.8487,l,2019-08-31 17:30:00,0,0,1,0,-0.5831799999999999
a,0.341654,1.68545,0.341654,1.68545,"{'att': 242, 'def': 20}","{'att': 111, 'def': 28}",4,13,1,1,0.3291,d,2019-09-14 14:00:00,0,1,0,1,-1.3437959999999998
h,2.39312,0.801428,2.39312,0.801428,"{'att': 292, 'def': 25}","{'att': 149, 'def': 10}",7,9,2,0,2.5163,w,2019-09-21 14:00:00,1,0,0,3,1.591692
a,1.66919,0.914266,1.66919,0.914266,"{'att': 199, 'def': 22}","{'att': 121, 'def': 20}",2,3,2,2,1.9909,d,2019-09-28 14:00:00,0,1,0,1,0.7549239999999999
h,0.558912,1.30723,0.558912,1.30723,"{'att': 273, 'def': 14}","{'att': 156, 'def': 20}",6,4,1,0,0.6769000000000001,w,2019-10-05 15:00:00,1,0,0,3,-0.7483179999999999
a,1.79569,0.8291,1.79569,0.8291,"{'att': 304, 'def': 20}","{'att': 114, 'def': 15}",3,6,1,2,2.1660999999999997,l,2019-10-19 15:00:00,0,0,1,0,0.9665900000000001
h,2.23494,0.988321,2.23494,0.988321,"{'att': 399, 'def': 25}","{'att': 199, 'def': 19}",8,6,2,4,2.3316,l,2019-10-26 17:30:00,0,0,1,0,1.246619
a,0.716613,2.58392,0.716613,2.58392,"{'att': 170, 'def': 20}","{'att': 248, 'def': 14}",3,6,0,3,0.25980000000000003,l,2019-11-02 15:00:00,0,0,1,0,-1.8673069999999998
h,2.4158,0.474281,2.4158,0.474281,"{'att': 218, 'def': 24}","{'att': 137, 'def': 24}",5,5,3,0,2.6809000000000003,w,2019-11-09 15:00:00,1,0,0,3,1.941519
a,2.66281,0.902384,1.90164,0.902384,"{'att': 186, 'def': 16}","{'att': 113, 'def': 19}",2,5,3,0,2.6123,w,2019-11-23 15:00:00,1,0,0,3,0.999256
h,1.8509,0.936732,1.8509,0.936732,"{'att': 268, 'def': 32}","{'att': 175, 'def': 24}",5,6,0,2,2.0956,l,2019-11-30 15:00:00,0,0,1,0,0.914168
h,0.486548,2.56057,0.486548,2.56057,"{'att': 415, 'def': 16}","{'att': 112, 'def': 10}",3,13,1,4,0.16410000000000002,l,2019-12-03 20:15:00,0,0,1,0,-2.074022
a,1.08645,2.39684,1.08645,2.39684,"{'att': 305, 'def': 27}","{'att': 297, 'def': 27}",1,3,0,5,0.4508,l,2019-12-07 15:00:00,0,0,1,0,-1.3103900000000002
h,1.43602,1.08726,1.43602,1.08726,"{'att': 193, 'def': 27}","{'att': 209, 'def': 20}",2,2,1,0,1.6641,w,2019-12-14 15:00:00,1,0,0,3,0.3487600000000002
a,0.144318,0.138532,0.144318,0.138532,"{'att': 235, 'def': 28}","{'att': 100, 'def': 18}",0,6,1,0,1.1229,w,2019-12-21 15:00:00,1,0,0,3,0.005786000000000013
a,0.565252,1.47521,0.565252,1.47521,"{'att': 314, 'def': 24}","{'att': 105, 'def': 19}",1,2,0,1,0.5893999999999999,l,2019-12-26 15:00:00,0,0,1,0,-0.9099579999999999
h,0.386662,2.10542,0.386662,2.10542,"{'att': 270, 'def': 20}","{'att': 150, 'def': 18}",3,9,0,2,0.2001,l,2019-12-28 19:45:00,0,0,1,0,-1.718758
h,2.34418,1.74824,2.34418,1.74824,"{'att': 143, 'def': 18}","{'att': 265, 'def': 10}",9,5,1,2,1.8281,l,2020-01-01 12:30:00,0,0,1,0,0.5959400000000001
a,0.717407,2.87633,0.717407,2.11516,"{'att': 317, 'def': 11}","{'att': 163, 'def': 17}",1,10,0,3,0.1711,l,2020-01-11 15:00:00,0,0,1,0,-1.3977529999999998
h,1.50886,2.33415,1.50886,1.55792,"{'att': 243, 'def': 25}","{'att': 226, 'def': 23}",3,14,2,1,0.7242,w,2020-01-19 14:00:00,1,0,0,3,-0.04905999999999988
a,0.717284,1.416,0.717284,1.416,"{'att': 361, 'def': 26}","{'att': 109, 'def': 10}",3,11,2,0,0.8269,w,2020-01-22 20:15:00,1,0,0,3,-0.6987159999999999
h,2.24562,1.48025,2.24562,1.48025,"{'att': 268, 'def': 24}","{'att': 146, 'def': 22}",4,4,0,0,1.9502000000000002,d,2020-02-02 14:00:00,0,1,0,1,0.7653700000000001
a,0.892699,0.694025,0.892699,0.694025,"{'att': 248, 'def': 25}","{'att': 134, 'def': 18}",2,6,2,1,1.5452,w,2020-02-15 12:30:00,1,0,0,3,0.19867400000000002
h,3.09935,1.75718,2.33818,1.75718,"{'att': 230, 'def': 21}","{'att': 125, 'def': 11}",5,5,3,0,2.2546999999999997,w,2020-02-22 15:00:00,1,0,0,3,0.581
a,0.617612,1.11713,0.617612,1.11713,"{'att': 186, 'def': 21}","{'att': 146, 'def': 22}",1,5,0,0,0.9067000000000001,d,2020-02-29 15:00:00,0,1,0,1,-0.4995179999999999
h,3.33302,1.13669,3.33302,0.375517,"{'att': 235, 'def': 31}","{'att': 213, 'def': 17}",6,4,1,1,2.7344,d,2020-03-07 17:30:00,0,1,0,1,2.957503
a,0.0303408,2.71096,0.0303408,1.94979,"{'att': 504, 'def': 11}","{'att': 200, 'def': 16}",0,13,0,5,0.0256,l,2020-06-22 19:00:00,0,0,1,0,-1.9194491999999999
h,0.964774,0.495542,0.964774,0.495542,"{'att': 121, 'def': 18}","{'att': 206, 'def': 20}",5,3,1,0,1.8039,w,2020-06-25 17:00:00,1,0,0,3,0.46923200000000004
a,0.359906,1.06533,0.359906,1.06533,"{'att': 235, 'def': 18}","{'att': 188, 'def': 22}",3,12,1,0,0.6875,w,2020-06-29 19:00:00,1,0,0,3,-0.705424
h,1.31966,1.63343,1.31966,1.63343,"{'att': 192, 'def': 21}","{'att': 207, 'def': 15}",4,7,1,1,1.1213,d,2020-07-05 11:00:00,0,1,0,1,-0.3137699999999999
a,1.05291,1.99821,1.05291,1.99821,"{'att': 193, 'def': 8}","{'att': 186, 'def': 17}",6,8,1,0,0.7094,w,2020-07-08 17:00:00,1,0,0,3,-0.9453
a,0.452331,2.17649,0.452331,2.17649,"{'att': 352, 'def': 15}","{'att': 113, 'def': 13}",2,19,1,1,0.2929,d,2020-07-11 14:00:00,0,1,0,1,-1.7241589999999998
h,1.53435,1.2857,0.773179,1.2857,"{'att': 201, 'def': 26}","{'att': 180, 'def': 8}",6,3,1,1,1.5969,d,2020-07-15 17:00:00,0,1,0,1,-0.5125210000000001
a,1.8233,0.576602,1.8233,0.576602,"{'att': 211, 'def': 31}","{'att': 196, 'def': 8}",17,0,2,0,2.3047,w,2020-07-18 16:30:00,1,0,0,3,1.2466979999999999
h,1.44244,1.3696,1.44244,1.3696,"{'att': 160, 'def': 27}","{'att': 180, 'def': 11}",5,4,1,2,1.4296,l,2020-07-26 15:00:00,0,0,1,0,0.07284000000000002
