id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
453,Son Heung-Min,4,305,6,1.908541887998581,1,1.5668523907661438,10,12,0,0,F M,Tottenham,6,1.908541887998581,3.6673173904418945,1.2636225931346416
5555,Dominic Calvert-Lewin,4,343,6,4.412360414862633,0,0.10603856295347214,15,1,0,0,F,Everton,6,4.412360414862633,4.070678114891052,1.1586278155446053
755,Jamie Vardy,4,355,5,3.8792811036109924,0,0.16242989152669907,7,2,0,0,F,Leicester,1,0.8346057236194611,1.2137065902352333,0.2166709490120411
1250,Mohamed Salah,4,360,5,2.9685078859329224,0,1.5119895786046982,19,14,0,0,F,Liverpool,3,1.4461702406406403,3.6280537843704224,1.2273586988449097
468,Callum Wilson,4,356,4,3.759824901819229,1,0.2826587110757828,9,4,0,0,F,Newcastle United,2,2.2374872267246246,2.7558091953396797,0.25703321769833565
3621,Neal Maupay,4,360,4,3.5201706290245056,1,0.4924890398979187,12,4,0,0,F M,Brighton,2,1.9979065507650375,2.873380422592163,0.837582441046834
522,Wilfried Zaha,4,360,3,2.0635974556207657,0,0.4252092018723488,10,5,1,0,F,Crystal Palace,2,1.3024286329746246,2.0870366916060448,0.39203447848558426
647,Harry Kane,4,357,3,3.8335398733615875,6,2.859149605035782,19,11,0,0,F,Tottenham,2,3.0723710358142853,5.241809099912643,0.6650438532233238
675,Jack Grealish,3,270,3,1.122298389673233,3,1.637872353196144,9,10,0,0,F M,Aston Villa,3,1.122298389673233,3.385695159435272,1.2501343786716461
822,Patrick Bamford,4,316,3,1.3861327096819878,1,0.17810216918587685,11,2,1,0,F,Leeds,3,1.3861327096819878,2.047214597463608,0.5989803820848465
838,Sadio Mané,3,261,3,2.4394850730895996,0,0.4662368819117546,13,6,1,0,F,Liverpool,3,2.4394850730895996,2.9949050545692444,0.603821687400341
986,Danny Ings,4,360,3,1.7244434617459774,0,0.17914428561925888,8,3,0,0,F,Southampton,2,0.9632745906710625,1.3535859882831573,0.24111837893724442
1389,Jorginho,3,259,3,3.1037791967391968,1,0.15144091844558716,5,4,0,0,M,Chelsea,0,0.059103842824697495,0.5656232386827469,0.5656232386827469
1776,Jarrod Bowen,4,352,3,2.248603470623493,0,0.13047415018081665,11,1,0,0,M,West Ham,3,2.248603470623493,2.976066529750824,0.7827934809029102
2249,James Rodríguez,4,341,3,1.5981584694236517,2,2.0162657499313354,10,12,0,0,F,Everton,3,1.5981584694236517,3.474671185016632,1.8035558350384235
3277,Alexandre Lacazette,3,241,3,2.320153534412384,0,0.15635568276047707,6,2,0,0,F,Arsenal,3,2.320153534412384,2.6766420900821686,0.2703167572617531
8865,Ollie Watkins,3,270,3,2.512878507375717,1,0.3200784455984831,10,5,0,0,F,Aston Villa,3,2.512878507375717,3.268899589776993,1.4110449701547623
531,Michail Antonio,4,358,2,2.59865865111351,0,0.24690389819443226,15,4,0,0,F,West Ham,2,2.59865865111351,3.239954352378845,0.3943917751312256
773,Aleksandar Mitrovic,4,296,2,1.4621353633701801,0,0.6692515090107918,16,3,1,0,F S,Fulham,1,0.7009664960205555,1.2406702972948551,0.0438326895236969
935,Kurt Zouma,3,270,2,0.17199571803212166,0,0,4,0,0,0,D,Chelsea,2,0.17199571803212166,0.23212551325559616,0.23212551325559616
1228,Bruno Fernandes,3,229,2,1.651090070605278,1,0.7259545903652906,5,8,1,0,M,Manchester United,0,0.12875239551067352,0.7230656873434782,0.08288826607167721
3428,Hélder Costa,4,337,2,0.27847570925951004,1,0.133443433791399,4,2,0,0,M,Leeds,2,0.27847570925951004,1.1143830940127373,0.7802861519157887
