team,team_code,team_1617,team_1718,team_1819,team_1920,team_2021
Arsenal,3,1,1,1,1,1
Bournemouth,91,2,2,2,3,#N/A
Burnley,90,3,4,4,5,4
Chelsea,8,4,5,6,6,5
Crystal Palace,31,5,6,7,7,6
Everton,11,6,7,8,8,7
Hull City,88,7,#N/A,#N/A,#N/A,#N/A
Leicester City,13,8,9,11,9,9
Liverpool,14,9,10,12,10,11
Manchester City,43,10,11,13,11,12
Manchester United,1,11,12,14,12,13
Middlesbrough,25,12,#N/A,#N/A,#N/A,#N/A
Southampton,20,13,14,16,16,16
Stoke City,110,14,15,#N/A,#N/A,#N/A
Sunderland,56,15,#N/A,#N/A,#N/A,#N/A
Swansea City,80,16,16,#N/A,#N/A,#N/A
Tottenham Hotspur,6,17,17,17,17,17
Watford,57,18,18,18,18,#N/A
West Bromwich Albion,35,19,19,#N/A,#N/A,18
West Ham United,21,20,20,19,19,19
Brighton and Hove Albion,36,#N/A,3,3,4,3
Huddersfield Town,38,#N/A,8,10,#N/A,#N/A
Newcastle United,4,#N/A,13,15,13,14
Cardiff City,97,#N/A,#N/A,5,#N/A,#N/A
Fulham,54,#N/A,#N/A,9,#N/A,8
Wolverhampton Wanderers,39,#N/A,#N/A,20,20,20
Aston Villa,7,#N/A,#N/A,#N/A,2,2
Norwich,45,#N/A,#N/A,#N/A,14,#N/A
Sheffield United,49,#N/A,#N/A,#N/A,15,15
Leeds,2,#N/A,#N/A,#N/A,#N/A,10
