id,xP
1,0.5
2,0.0
3,0.0
4,0.0
5,1.7
6,1.1
7,3.1
8,0.0
9,0.0
11,0.0
12,2.9
13,0.0
14,0.0
15,0.0
16,0.0
17,0.9
18,0.0
20,4.3
21,1.5
22,5.1
23,2.9
24,0.0
25,0.0
26,3.5
27,0.0
67,0.5
466,2.9
478,0.7
530,0.0
531,0.0
532,0.0
558,2.3
559,2.7
572,0.5
590,1.7
664,0.5
692,0.5
693,0.5
694,0.5
695,0.0
705,0.5
711,0.5
719,0.5
720,0.5
721,0.5
730,0.5
10,5.1
28,0.0
29,0.0
30,8.5
31,0.0
32,1.1
34,0.5
35,8.5
36,0.0
37,0.0
38,6.5
40,7.4
41,2.5
43,9.9
44,6.9
45,3.9
46,0.0
47,0.0
48,0.0
49,0.0
50,6.5
51,3.1
52,2.9
168,7.5
337,7.5
492,0.4
496,0.0
497,0.0
526,1.5
568,0.0
596,0.5
610,0.5
638,1.5
650,0.0
670,0.5
681,4.5
684,0.5
691,0.5
703,0.5
713,0.5
76,5.5
77,3.2
78,2.8
79,0.0
80,4.2
81,0.0
82,1.0
83,5.0
84,1.5
85,0.0
86,2.2
87,0.0
88,0.0
89,2.2
90,2.8
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,2.5
97,0.0
479,0.0
483,3.5
498,0.0
499,0.2
524,5.2
556,0.0
569,0.0
594,0.0
614,0.0
619,0.0
628,0.0
640,0.2
662,0.0
673,0.0
699,4.0
722,0.0
53,0.2
54,0.0
55,4.2
56,0.0
57,0.0
59,3.8
60,2.5
61,1.0
62,3.8
63,0.8
64,8.8
65,0.0
66,0.0
68,0.0
69,4.5
70,5.5
71,0.5
72,0.0
73,0.0
74,3.2
75,0.0
447,7.5
462,0.0
476,0.0
500,0.0
535,0.0
536,0.0
537,0.0
538,4.0
560,0.0
584,5.5
595,0.0
612,0.0
653,0.0
654,0.0
655,0.0
688,0.0
712,0.0
98,0.9
99,-1.5
100,0.1
101,4.6
102,-1.1
103,0.5
104,-0.3
105,3.7
106,-0.4
107,0.0
108,0.0
110,-1.1
111,0.0
112,7.3
113,4.9
114,-1.5
115,5.7
116,0.0
117,0.0
118,2.9
451,3.3
480,-1.5
533,-1.5
534,-1.5
565,-1.5
575,1.3
578,3.7
585,3.3
700,2.5
708,-1.5
726,-1.5
735,0.6
736,1.1
119,2.5
120,0.0
121,2.8
122,6.5
123,1.8
124,0.5
125,1.2
126,0.0
127,2.2
129,0.5
130,1.5
131,1.8
132,2.5
133,0.8
134,0.9
135,0.0
136,0.0
137,4.3
138,3.7
139,0.0
140,0.0
141,1.1
142,4.5
143,3.8
501,0.7
527,3.2
529,4.2
539,0.0
592,0.7
606,0.5
671,0.5
672,0.5
690,0.5
144,4.5
146,3.1
147,0.5
148,0.8
149,1.7
150,0.9
151,0.5
152,1.7
153,4.1
154,10.9
155,5.3
156,4.9
157,0.5
158,0.5
159,6.1
160,9.3
161,0.0
162,2.1
386,1.7
464,3.3
474,5.3
477,5.0
488,7.7
493,9.7
540,0.5
541,0.5
542,0.0
543,0.5
561,0.5
586,1.3
709,0.5
42,-0.5
163,0.5
164,0.0
165,3.9
166,0.0
167,0.0
169,6.9
170,8.5
171,0.5
172,0.5
173,3.5
174,5.9
175,0.5
176,-0.5
177,5.5
178,7.5
179,-0.4
180,11.1
181,0.0
282,-0.4
363,0.1
481,-0.5
482,0.0
484,5.9
502,0.5
503,3.9
504,0.0
544,-1.5
545,0.0
564,0.0
570,0.0
571,-0.5
591,-0.1
602,0.0
607,-0.5
613,-0.5
616,-0.5
622,-0.5
623,-0.5
630,-0.5
674,0.0
675,7.1
718,-0.5
200,7.4
201,3.0
202,1.6
203,3.0
204,0.8
205,10.4
206,0.0
207,0.0
208,3.0
209,7.0
210,5.4
211,1.6
212,11.6
213,4.0
214,0.0
215,9.4
216,0.0
217,3.4
218,5.0
219,0.6
220,3.0
340,0.0
455,4.6
458,0.6
473,0.0
505,3.6
573,0.0
587,1.6
639,0.0
645,0.0
646,0.4
647,0.0
182,0.0
183,0.0
184,1.6
185,0.0
186,1.2
187,1.6
188,0.0
189,0.0
190,3.4
191,2.0
192,0.0
193,0.0
194,1.0
195,0.0
196,1.8
197,0.2
198,2.8
199,3.6
267,1.5
287,0.0
463,1.4
490,0.0
550,0.6
551,0.0
552,0.0
562,0.0
563,0.0
576,0.0
577,1.8
600,0.0
601,0.0
608,0.0
624,0.4
631,0.0
657,0.0
658,0.0
221,2.0
222,3.0
223,1.0
224,8.2
225,3.4
226,0.0
227,1.0
228,1.4
229,2.6
230,3.6
231,5.4
232,0.6
233,1.5
234,5.6
235,2.2
236,2.8
237,2.8
238,2.2
239,3.8
240,4.2
241,0.0
242,1.0
243,1.8
244,1.8
245,1.8
246,0.0
247,0.0
248,0.0
506,1.4
553,0.0
620,1.0
625,1.0
626,1.0
627,1.0
656,1.0
660,1.0
696,5.4
33,5.0
249,0.0
250,2.8
251,9.2
252,0.0
253,0.0
254,2.0
255,7.6
256,5.2
257,4.6
258,2.8
259,2.8
260,1.0
261,2.6
262,0.0
263,8.0
264,5.0
265,4.4
266,7.4
268,0.0
453,1.8
507,1.0
508,1.0
566,0.0
593,1.0
603,1.0
604,1.0
605,1.0
615,1.0
629,1.0
651,1.2
663,1.0
704,1.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
283,0.0
284,0.0
285,0.0
286,0.0
288,0.0
289,0.0
459,0.0
485,0.0
509,0.0
510,0.0
511,0.0
512,0.0
555,0.0
579,0.0
632,0.0
636,0.0
706,0.0
723,0.0
727,0.0
728,0.0
19,0.0
39,3.3
58,2.7
109,0.3
291,0.0
292,-0.3
293,0.0
294,-0.5
295,4.7
296,0.3
297,0.0
298,-0.2
299,1.7
300,0.0
301,-0.5
302,-0.5
303,3.5
304,1.7
305,0.3
306,0.0
307,2.0
308,1.5
309,1.5
310,4.7
311,0.0
312,0.0
465,-0.1
513,0.0
514,-0.5
599,0.0
609,0.0
678,-0.5
697,5.3
707,-0.5
145,1.1
290,-0.5
313,-0.5
314,0.3
315,2.7
316,0.0
317,0.3
318,0.0
319,0.5
320,0.0
321,0.5
322,0.0
323,1.1
324,0.0
325,0.0
326,0.7
327,-0.3
328,-0.1
329,0.0
330,0.0
331,0.0
448,0.5
449,0.9
456,-0.1
457,0.1
471,1.5
515,0.0
516,0.0
528,-0.3
580,0.0
581,0.0
643,-0.5
648,0.3
649,0.0
666,-0.5
683,-0.5
715,-0.5
716,0.1
332,-1.0
333,0.2
334,-0.5
335,3.2
336,2.8
338,-1.0
339,0.2
341,5.0
342,0.0
343,-0.5
344,0.0
345,0.2
346,1.8
347,-1.0
348,0.0
349,-0.2
350,-1.0
351,-0.5
460,-0.2
491,0.0
517,0.0
518,0.5
519,0.0
525,-0.5
546,-1.0
567,-0.8
637,-1.0
641,-1.0
665,0.0
667,-1.0
680,-1.0
731,-1.0
352,0.0
353,5.6
355,0.0
356,0.0
357,7.0
358,0.0
359,10.0
360,0.0
361,5.6
362,2.0
364,4.8
365,3.6
366,1.4
367,5.0
368,6.4
369,1.6
370,0.0
371,0.0
372,0.0
373,0.0
374,1.4
375,0.0
486,1.0
487,0.0
494,0.0
520,1.0
588,5.8
597,0.0
598,1.0
659,1.0
668,1.0
701,4.2
702,4.0
714,1.0
717,1.0
724,1.0
729,1.0
354,1.7
376,2.9
377,0.0
378,0.3
379,0.3
380,0.0
381,0.0
382,0.0
383,0.0
384,0.9
385,0.0
387,-0.3
388,0.0
389,-0.5
390,1.3
391,0.7
392,0.0
393,0.0
394,0.0
395,0.0
396,-0.5
397,0.0
398,0.0
399,0.0
400,1.1
401,0.0
402,0.0
403,0.0
404,1.3
405,-0.5
450,0.0
454,0.0
467,-0.1
468,0.0
469,0.0
472,0.0
495,0.0
557,0.0
574,-0.5
618,-0.4
633,-0.5
642,-0.5
669,0.0
676,0.7
677,1.1
679,1.1
698,0.5
725,0.0
732,-0.5
