assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,69,100,100,1,80201,None,,0,0,-5,5,0.0,602,69,None,,1,1,2.0,2.0,6,Bernd,1.5,9,0,8.5,427,30,1,False,85.0,371,29,360,,2022-02-11T08:00:15.144286Z,45,0,0,None,0,,80201.jpg,2.5,0,10,Leno,0.9,False,None,a,1,3,0.0,584,60,10,72662,7675,191404,848,0.3,2.2,Leno,0
0,0,0,0,0,0,115918,None,,0,0,0,0,0.0,513,32,None,,0,1,0.0,0.0,0,Rúnar Alex,0.0,0,0,0.0,533,54,2,False,0.0,529,54,0,Joined OH Leuven on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.069158Z,40,0,0,None,0,,115918.jpg,0.0,0,0,Rúnarsson,0.5,False,None,u,1,3,0.0,478,19,0,19017,0,79428,198,0.0,0.0,Rúnarsson,0
0,0,0,0,0,0,47431,None,,0,0,-2,2,0.0,710,294,None,,0,3,0.0,0.0,0,Willian,0.0,0,0,0.0,710,294,3,False,0.0,710,294,0,Transferred to Corinthians,2021-08-20T09:30:14.065783Z,63,0,0,None,0,,47431.jpg,0.0,0,0,Borges Da Silva,0.1,False,None,u,1,3,0.0,710,294,0,914,0,20492,6,0.0,0.0,Willian,0
1,7,131,0,0,6,54694,None,,0,0,-4,4,132.4,214,32,None,,0,4,0.0,0.0,0,Pierre-Emerick,0.0,16,4,92.9,116,24,4,False,217.6,253,31,1036,Left club by mutual consent,2022-02-02T08:21:28.428217Z,96,0,2,None,0,,54694.jpg,3.1,0,0,Aubameyang,1.3,False,None,u,1,3,582.0,43,17,44,742898,0,896498,887,0.0,4.6,Aubameyang,3
0,0,160,100,100,3,58822,2,,0,0,-3,3,144.2,200,51,None,,0,2,3.5,3.5,5,Cédric,3.0,14,0,34.8,305,101,5,False,147.2,314,122,829,,2022-01-13T23:00:13.573747Z,42,0,0,None,0,,58822.jpg,2.2,0,0,Soares,0.3,False,None,a,1,3,56.0,322,106,24,31699,2938,30571,934,0.7,5.7,Cédric,3
8,3,286,100,100,10,59966,None,,0,0,-1,1,366.5,72,9,5,,1,4,5.0,5.0,2,Alexandre,4.5,11,4,144.1,38,10,6,False,372.0,128,14,1523,,2021-08-13T14:30:14.582063Z,84,0,1,2,0,,59966.jpg,3.5,0,0,Lacazette,8.7,False,None,a,1,3,703.0,24,11,81,1626701,38262,1072898,43483,0.5,9.6,Lacazette,0
1,0,190,100,100,6,84450,None,,0,0,-2,2,304.2,100,67,4,,0,3,2.7,2.7,2,Granit,2.2,21,0,68.4,193,100,7,False,212.8,256,102,1455,,2022-01-10T00:00:11.840953Z,48,0,0,None,0,,84450.jpg,1.9,1,0,Xhaka,0.3,False,None,a,1,3,167.0,197,108,33,29925,424,88496,337,0.5,6.9,Xhaka,6
0,0,35,0,0,0,92371,None,,0,0,-3,3,12.3,414,153,None,,0,2,0.0,0.0,0,Pablo,0.0,4,0,7.9,429,154,8,False,55.4,397,153,180,Joined Udinese on loan until the end of the season - Expected back 01 Jul,2022-01-20T22:30:17.110379Z,42,0,0,None,0,,92371.jpg,0.5,0,0,Marí,0.1,False,None,u,1,3,11.0,401,150,1,5760,0,14943,38,0.0,0.2,Marí,1
0,0,0,0,0,0,98745,None,,0,0,-2,2,0.0,677,240,None,,0,2,0.0,0.0,0,Héctor,0.0,0,0,0.0,678,240,9,False,0.0,678,240,0,Joined Real Betis on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.090880Z,48,0,0,None,0,,98745.jpg,0.0,0,0,Bellerín,0.2,False,None,u,1,3,0.0,666,239,0,3737,0,70622,32,0.0,0.0,Bellerín,0
0,0,6,0,0,0,111457,None,,0,0,-3,3,0.2,476,177,None,,0,2,0.0,0.0,0,Sead,0.0,5,0,0.4,498,178,11,False,4.2,482,178,91,Contract ended by mutual consent,2022-01-13T23:00:13.612208Z,42,0,0,None,0,,111457.jpg,0.0,0,0,Kolasinac,0.1,False,None,u,1,3,0.0,533,219,0,3727,0,11565,16,0.0,0.0,Kolasinac,1
1,0,42,100,100,0,153256,None,,0,0,-1,1,49.3,324,168,None,,0,3,0.5,0.5,0,Mohamed Naser,0.0,6,0,10.1,415,183,12,False,44.4,412,174,171,,2022-01-01T17:00:18.558719Z,44,0,0,None,0,,153256.jpg,1.6,0,0,El Sayed Elneny,0.3,False,None,a,1,3,7.0,416,202,11,36445,75,73341,182,0.0,2.5,Elneny,0
0,0,44,0,0,2,154043,None,,0,0,-3,3,41.3,345,175,None,,0,3,0.0,0.0,0,Ainsley,0.0,4,0,9.3,419,185,13,False,42.6,415,176,263,Season-long loan to Roma,2022-01-10T11:28:00.855474Z,52,0,0,None,0,,154043.jpg,1.5,0,0,Maitland-Niles,0.0,False,None,u,1,3,9.0,409,197,12,4745,0,9708,19,0.0,2.3,Maitland-Niles,0
0,0,89,100,100,2,156074,None,,0,0,-4,4,3.4,440,163,None,,0,2,1.0,1.0,1,Rob,0.5,8,0,16.2,386,144,14,False,128.2,329,126,432,,2021-09-11T17:30:15.865590Z,41,0,0,None,0,,156074.jpg,1.8,0,0,Holding,0.6,False,None,a,1,3,30.0,364,133,16,71714,403,185862,695,0.1,3.9,Holding,2
2,4,340,100,100,10,167199,None,,0,0,0,0,273.1,118,79,3,,1,3,5.5,5.5,2,Thomas,5.0,22,2,102.7,92,61,15,False,359.6,138,50,1953,,2022-01-20T22:30:17.159532Z,50,0,0,None,0,,167199.jpg,3.0,0,0,Partey,0.4,False,None,a,1,3,392.0,72,42,70,88350,5282,66004,2339,1.0,14.0,Partey,5
3,11,454,100,100,11,192895,None,,0,0,1,-1,335.9,82,15,None,,3,2,4.0,4.0,6,Kieran,3.5,21,1,90.1,128,28,16,False,365.2,132,52,1916,,2021-10-22T22:30:11.717934Z,51,0,0,None,0,,192895.jpg,4.8,0,0,Tierney,13.5,False,None,a,1,3,198.0,180,38,106,1991069,25336,1431173,19766,0.7,20.8,Tierney,0
3,1,111,100,100,2,195735,6,,0,0,-6,6,196.5,162,100,2,,0,3,1.5,1.5,1,Nicolas,1.0,8,1,63.6,214,107,17,False,117.6,341,146,594,,2022-01-01T17:00:18.580071Z,69,0,0,3,0,,195735.jpg,2.5,0,0,Pépé,0.8,False,None,a,1,3,325.0,103,58,37,135756,321,352884,1531,0.1,5.4,Pépé,0
0,0,0,0,0,0,198849,None,,0,0,0,0,0.0,610,236,None,,0,3,0.0,0.0,0,Lucas,0.0,0,0,0.0,619,237,18,False,0.0,617,236,0,Joined Fiorentina on a season-long loan - Expected back 01 Jul,2021-08-25T22:00:08.179808Z,45,0,0,None,0,,198849.jpg,0.0,0,0,Torreira,0.1,False,None,u,1,3,0.0,593,234,0,6292,0,33919,30,0.0,0.0,Torreira,0
1,0,37,100,100,0,205533,None,,0,0,-1,1,47.4,332,49,None,,0,4,1.3,1.3,1,Edward,0.8,4,0,10.7,410,53,20,False,33.4,429,52,114,,2021-08-08T18:00:05.173437Z,54,0,0,None,0,,205533.jpg,1.2,0,0,Nketiah,0.3,False,None,a,1,3,29.0,366,54,13,54859,613,48016,1150,0.1,2.4,Nketiah,1
2,9,377,100,100,8,209289,3,,0,0,2,-2,354.7,76,53,None,,1,3,1.7,1.7,3,Emile,1.2,21,9,131.8,47,32,21,False,487.0,74,29,1498,,2022-03-07T09:30:13.243078Z,57,0,0,None,0,,209289.jpg,4.5,0,0,Smith Rowe,10.9,False,None,a,1,3,477.0,58,33,108,3775115,12753,3492822,22613,0.2,18.9,Smith Rowe,0
6,14,431,100,100,13,223340,1,,1,-1,3,-3,712.3,11,9,None,,3,3,7.5,7.5,11,Bukayo,7.0,22,9,233.1,7,5,22,True,598.2,30,12,2135,,2022-01-13T23:00:13.665796Z,68,0,0,None,0,,223340.jpg,4.9,0,0,Saka,32.3,False,None,a,1,3,1023.0,8,5,138,4448480,119632,2746245,23394,1.0,20.3,Saka,4
0,13,524,100,100,13,226597,None,,0,0,3,-3,74.7,280,83,None,,4,2,4.5,4.5,8,Gabriel,4.0,22,3,89.1,133,30,23,False,512.8,65,23,2196,,2021-08-04T10:30:07.822243Z,53,0,0,None,0,,226597.jpg,4.7,1,0,Magalhães,7.7,False,None,a,1,3,305.0,109,12,117,1296999,20402,679176,14405,0.8,22.1,Gabriel,4
0,0,0,0,0,0,233963,None,,0,0,0,0,0.0,629,237,None,,0,2,0.0,0.0,0,Konstantinos,0.0,0,0,0.0,638,237,24,False,0.0,636,237,0,Season long loan to Stuttgart,2021-07-02T08:43:27.623007Z,45,0,0,None,0,,233963.jpg,0.0,0,0,Mavropanos,0.0,False,None,u,1,3,0.0,614,235,0,0,0,45,1,0.0,0.0,Mavropanos,0
0,0,0,0,0,0,242166,None,,0,0,0,0,0.0,633,248,None,,0,3,0.0,0.0,0,Mattéo,0.0,0,0,0.0,641,249,25,False,0.0,639,249,0,Season long loan to Marseille,2021-07-08T07:32:22.717852Z,45,0,0,None,0,,242166.jpg,0.0,0,0,Guendouzi,0.0,False,None,u,1,3,0.0,618,246,0,0,0,128,0,0.0,0.0,Guendouzi,0
4,3,235,100,100,7,444145,4,,0,0,-2,2,322.0,90,60,None,,1,3,4.3,4.3,0,Gabriel Teodoro,3.8,13,5,114.1,70,47,26,False,324.8,173,63,1244,,2022-02-10T23:30:16.705628Z,53,0,0,None,0,,444145.jpg,4.1,1,0,Martinelli Silva,4.2,False,None,a,1,3,494.0,56,31,77,1286852,19975,924878,18099,0.7,14.5,Martinelli,1
0,0,0,0,0,0,462424,None,,0,0,0,0,0.0,651,239,None,,0,2,0.0,0.0,0,William,0.0,0,0,0.0,658,239,27,False,0.0,657,239,0,Joined Marseille on loan for 2021/22. - Expected back 23 May,2021-07-15T17:30:06.383244Z,45,0,0,None,0,,462424.jpg,0.0,0,0,Saliba,0.0,False,None,u,1,3,0.0,637,237,0,0,0,185,0,0.0,0.0,Saliba,0
0,9,500,100,100,13,198869,None,,0,0,0,0,160.3,188,44,None,,0,2,4.5,4.5,7,Ben,4.0,24,0,80.0,151,38,67,False,495.4,72,26,2340,,2021-10-26T22:00:11.817982Z,45,0,0,None,0,,198869.jpg,4.0,0,0,White,14.2,False,None,a,1,3,144.0,213,55,103,1519780,44567,2094113,9500,0.9,22.9,White,1
1,2,132,None,None,3,437626,None,,0,0,-2,2,104.3,238,66,None,,1,2,0.5,0.5,0,Nuno,0.0,10,0,34.1,306,102,466,False,114.2,349,134,620,,None,43,0,0,None,0,,437626.jpg,2.3,0,0,Varela Tavares,0.3,False,None,a,1,3,122.0,232,62,32,105290,107,110755,453,0.0,7.4,Tavares,1
0,0,141,100,100,7,437742,None,,0,0,-2,2,194.8,163,101,None,,0,3,0.5,0.5,0,Albert,0.0,8,0,42.4,277,125,478,False,152.8,309,128,906,,2021-12-18T22:30:10.850943Z,48,0,0,None,0,,437742.jpg,1.9,0,0,Sambi Lokonga,0.1,False,None,a,1,3,75.0,294,151,26,21504,14,33310,80,0.0,5.4,Sambi Lokonga,4
0,0,2,0,0,0,232223,None,,0,0,-3,3,3.7,439,60,None,,0,4,0.0,0.0,0,Folarin,0.0,1,0,1.9,480,60,530,False,4.2,483,58,69,Joined Middlesbrough on loan until the end of the season,2022-01-10T00:00:13.526321Z,47,0,0,None,0,,232223.jpg,1.0,0,0,Balogun,0.3,False,None,u,1,3,17.0,394,58,2,62383,0,80963,159,0.0,0.4,Balogun,0
0,0,4,0,0,0,200641,None,,0,0,0,0,11.6,417,200,None,,0,3,0.0,0.0,0,Reiss,0.0,1,0,3.6,453,200,531,False,4.0,486,211,19,Joined Feyenoord on a season-long loan - Expected back 01 Jul,2021-08-31T17:00:07.058892Z,50,0,0,None,0,,200641.jpg,1.0,0,0,Nelson,0.0,False,None,u,1,3,20.0,383,187,1,468,0,1069,0,0.0,0.2,Nelson,0
0,0,0,0,0,0,463748,None,,0,0,0,0,0.0,544,45,None,,0,1,0.0,0.0,0,Karl,0.0,0,0,0.0,564,67,532,False,0.0,560,67,0,Joined Reading on loan until the end of the season - Expected back 01 Jul,2022-01-24T22:30:12.592957Z,40,0,0,None,0,,463748.jpg,0.0,0,0,Hein,0.4,False,None,u,1,3,0.0,510,32,0,50944,0,42152,300,0.0,0.0,Hein,0
3,7,387,100,100,11,184029,5,,0,0,0,0,750.8,7,6,1,,2,3,4.5,4.5,3,Martin,4.0,22,5,164.6,27,18,558,False,478.6,80,32,1882,,2022-01-13T23:00:14.935017Z,55,0,0,None,0,,184029.jpg,3.8,0,0,Ødegaard,5.9,False,None,a,1,3,417.0,68,39,98,1320555,22899,853690,21878,0.7,17.8,Ødegaard,2
0,14,513,50,None,12,225321,None,,0,0,6,-6,1.0,459,12,None,,3,1,1.8,3.5,0,Aaron,3.0,22,0,52.9,247,13,559,False,528.8,58,13,2160,Muscle injury - 50% chance of playing,2022-03-19T16:30:14.923927Z,51,0,0,None,0,,225321.jpg,4.9,0,71,Ramsdale,20.0,False,None,d,1,3,0.0,689,76,117,2790608,7356,1169486,126812,0.6,22.9,Ramsdale,1
0,0,0,None,None,0,220682,None,,0,0,-1,1,0.0,495,22,None,,0,1,0.5,0.5,0,Arthur,0.0,0,0,0.0,518,47,572,False,0.0,514,47,0,,None,39,0,0,None,0,,220682.jpg,0.0,0,0,Okonkwo,0.7,False,None,a,1,3,0.0,459,9,0,87560,5737,32826,1540,0.0,0.0,Okonkwo,0
1,5,303,75,50,9,223723,None,,-1,1,0,0,198.8,158,37,None,,1,2,0.4,0.2,0,Takehiro,0.0,15,0,55.7,235,76,590,False,262.2,219,84,1384,Lack of match fitness - 75% chance of playing,2022-02-24T23:30:16.726238Z,45,0,0,None,0,,223723.jpg,4.3,0,0,Tomiyasu,1.9,False,None,d,1,3,95.0,266,79,69,784330,223,672296,5533,0.0,15.3,Tomiyasu,1
0,0,0,None,None,0,450544,None,,0,0,0,0,0.0,645,256,None,,0,3,0.5,0.5,0,Charlie,0.0,0,0,0.0,653,257,664,False,0.0,652,257,0,,None,45,0,0,None,0,,450544.jpg,0.0,0,0,Patino,0.0,False,None,a,1,3,0.0,632,256,0,1518,58,955,52,0.0,0.0,Patino,0
0,0,0,None,None,0,503301,None,,0,0,0,0,0.0,668,274,None,,0,3,0.5,0.5,0,Omari,0.0,0,0,0.0,672,273,692,False,0.0,672,273,0,,None,45,0,0,None,0,,503301.jpg,0.0,0,0,Hutchinson,0.0,False,None,a,1,3,0.0,653,273,0,188,23,108,14,0.0,0.0,Hutchinson,0
0,0,0,None,None,0,498046,None,,0,0,0,0,0.0,667,273,None,,0,3,0.5,0.5,0,Salah-Eddine,0.0,0,0,0.0,671,272,693,False,0.0,671,272,0,,None,45,0,0,None,0,,498046.jpg,0.0,0,0,Oulad M'hand,0.0,False,None,a,1,3,0.0,652,272,0,187,20,116,19,0.0,0.0,Oulad M'hand,0
0,0,0,None,None,0,444880,None,,0,0,0,0,0.0,640,76,None,,0,4,0.5,0.5,0,Mika,0.0,0,0,0.0,648,75,694,False,0.0,647,74,0,,None,45,0,0,None,0,,444880.jpg,0.0,0,0,Biereth,0.1,False,None,a,1,3,0.0,626,74,0,14704,1344,6848,542,0.0,0.0,Biereth,0
0,0,0,0,0,0,461023,None,,0,0,0,0,0.0,542,210,None,,0,2,0.0,0.0,0,Ryan,0.0,0,0,0.0,562,210,695,False,0.0,558,210,0,Season-long loan to Crewe Alexandra,2022-01-31T09:44:50.419118Z,40,0,0,None,0,,461023.jpg,0.0,0,0,Alebiosu,0.0,False,None,u,1,3,0.0,508,203,0,76,0,52,1,0.0,0.0,Alebiosu,0
